user_id,item_list
7,6798 4057 8483 10469 6289 12469 4220 8567 7671 7310
10,3901 16178 4325 16376 5179 8565 8470 5632 8009 5644
13,1023 4785 5455 15030 9035 6531 4779 5133 5887 3902
19,8638 192 4844 7190 8306 5294 14451 9714 7195 7493
23,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
26,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
28,2519 13831 11395 13504 11309 389 11393 3540 5460 14770
33,8414 8666 9461 15100 9446 6289 7581 6526 6530 8526
40,4652 16388 10116 8568 4551 4554 8223 5187 5188 9098
42,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
44,3568 3569 8627 13202 15099 15119 3565 7437 9477 5331
46,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
48,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
51,724 9448 13838 3805 9477 7192 4747 9092 4748 8712
54,5562 7655 3626 4657 7931 4440 5561 4635 8542 7659
60,7657 7661 7662 5602 4440 6798 6545 7690 4747 8506
62,14850 10664 2205 6845 2098 15553 11166 14708 15449 8375
66,7823 4019 5645 4018 7135 9014 7437 15119 14808 10277
68,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
75,3852 13298 13842 13582 4036 15713 7771 2712 15532 4676
82,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
86,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
92,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
103,5653 5044 5656 4687 3105 16182 5664 17835 5649 9311
106,129 5637 5630 3970 6778 16097 7529 15801 6881 1944
109,5653 5044 5661 4687 3105 5656 17835 5664 9311 10783
115,5113 5112 8481 6018 17955 7172 187 10469 4018 16209
119,7310 5645 10466 5113 17955 12469 6292 5297 6289 8500
122,5297 14847 9224 10469 8186 4024 5656 4019 2185 11218
125,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
127,3572 3566 8982 3593 9446 7581 12469 8414 2301 8404
131,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
135,724 9448 13838 3805 9477 7192 4747 9092 4748 8712
137,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
144,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
153,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
163,8381 2736 8389 8853 12516 2709 13838 7576 15720 13841
168,6654 16281 15429 9637 11956 13833 14394 11666 9910 10182
174,11222 6785 4531 7474 17127 9580 10144 18040 4593 4592
178,5589 5009 4937 520 4952 9030 7174 10072 10942 12637
181,4737 12701 18197 16872 6655 16908 570 8266 2046 5566
183,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
186,45 16215 18324 4854 8560 6468 209 4108 4661 17569
190,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
192,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
196,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
205,4124 4361 17558 4034 17733 17732 4035 17559 7703 17735
214,14234 2342 12712 10685 7455 13106 11063 2914 10701 13173
219,8179 8196 14115 9605 14872 2692 9105 9992 12347 11729
225,12469 8668 2301 8414 10055 4844 3834 4242 9461 4634
227,12720 11834 18054 11942 5472 5482 2232 17369 2400 3250
230,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
233,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
238,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
240,4035 4033 3922 5645 4361 9228 6289 4194 5113 4365
242,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
246,3565 3593 3582 8404 8982 9205 9446 3595 3884 3568
254,11191 383 15378 1349 15205 16184 3943 6878 15003 16158
258,6526 3572 8008 9446 3565 8414 4844 12469 7581 8202
260,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
264,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
266,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
270,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
283,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
285,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
289,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
